#DtalgebraSet2
•¶Žš—ñ08,Šî’ê08,string,#,#
-0.2108,Šî’ê08,decimal,#,#
false,Šî’ê08,boolean,#,#
!%!%!%!%•¶Žš—ñ02,Šî’ê02,string,#,#
123.02,Šî’ê02,decimal,#,#
false,Šî’ê02,boolean,#,#
"!%!%",Šî’ê0d,string,#,#
-1.13,Šî’ê0d,decimal,#,#
false,Šî’ê0d,boolean,#,#
 !%•¶Žš—ñ06,Šî’ê06,string,#,#
"-1006","Šî’ê06","decimal","#","#"
false,Šî’ê06,boolean,#,#
"•¶Žš—ñ!%04","Šî’ê04","string","#","#"
"-975.04","Šî’ê04","decimal","#","#"
"false","Šî’ê04","boolean","#","#"
"!%!%n","Šî’ê0c","string","#","#"
1.12,Šî’ê0c,decimal,#,#
true,Šî’ê0c,boolean,#,#
!%n,Šî’ê0b,string,#,#
0,Šî’ê0b,decimal,#,#
false,Šî’ê0b,boolean,#,#
,Šî’ê0a,string,#,#
,Šî’ê0a,decimal,#,#
,Šî’ê0a,boolean,#,#

!%!%!%•¶Žš—ñ1d,Šî’ê0d,string,#,#
1.13,Šî’ê0d,decimal,#,#
true,Šî’ê0d,boolean,#,#
•¶Žš—ñ13,Šî’ê03,string,#,#
1.03,Šî’ê03,decimal,#,#
false,Šî’ê03,boolean,#,#
•¶Žš—ñ19,Šî’ê09,string,#,#
1.09,Šî’ê09,decimal,#,#
false,Šî’ê09,boolean,#,#
•¶Žš—ñ17,Šî’ê07,string,#,#
1.07,Šî’ê07,decimal,#,#
false,Šî’ê07,boolean,#,#
•¶Žš—ñ15,Šî’ê05,string,#,#
1.05,Šî’ê05,decimal,#,#
false,Šî’ê05,boolean,#,#
!%!%,Šî’ê0b,string,#,#
1.11,Šî’ê0b,decimal,#,#
true,Šî’ê0b,boolean,#,#
•¶Žš—ñ11,Šî’ê01,string,#,#
1.01,Šî’ê01,decimal,#,#
false,Šî’ê01,boolean,#,#

"true","Šî’ê03","boolean","#","#"
"-2.13","Šî’ê0d","decimal","#","#"
"-2.03","Šî’ê03","decimal","#","#"
