#DtalgebraSet2
文字列08,基底08,string,#,#
-0.2108,基底08,decimal,#,#
false,基底08,boolean,#,#
文字列02,基底02,string,#,#
123.02,基底02,decimal,#,#
false,基底02,boolean,#,#
"!%!%",基底0d,string,#,#
-1.13,基底0d,decimal,#,#
false,基底0d,boolean,#,#
文字列06,基底06,string,#,#
"-1006","基底06","decimal","#","#"
false,基底06,boolean,#,#
"文字列04","基底04","string","#","#"
"-975.04","基底04","decimal","#","#"
"false","基底04","boolean","#","#"
"!%!%n","基底0c","string","#","#"
1.12,基底0c,decimal,#,#
true,基底0c,boolean,#,#
!%n,基底0b,string,#,#
0,基底0b,decimal,#,#
false,基底0b,boolean,#,#
,基底0a,string,#,#
,基底0a,decimal,#,#
,基底0a,boolean,#,#

!%!%!%文字列1d,基底0d,string,#,#
1.13,基底0d,decimal,#,#
true,基底0d,boolean,#,#
文字列13,基底03,string,#,#
1.03,基底03,decimal,#,#
false,基底03,boolean,#,#
文字列19,基底09,string,#,#
1.09,基底09,decimal,#,#
false,基底09,boolean,#,#
文字列17,基底07,string,#,#
1.07,基底07,decimal,#,#
false,基底07,boolean,#,#
文字列15,基底05,string,#,#
1.05,基底05,decimal,#,#
false,基底05,boolean,#,#
!%!%,基底0b,string,#,#
1.11,基底0b,decimal,#,#
true,基底0b,boolean,#,#
文字列11,基底01,string,#,#
1.01,基底01,decimal,#,#
false,基底01,boolean,#,#

"true","基底03","boolean","#","#"
"-2.13","基底0d","decimal","#","#"
"-2.03","基底03","decimal","#","#"
"-2.08","基底08","decimal","#","#"
"!%N","基底0d","boolean","#","#"
" !%文字列24","基底04","string","#","#"
"-2.11","基底0b","decimal","#","#"
"false","基底07","boolean","#","#"
"-2.12","基底0c","decimal","#","#"
"false","基底0b","boolean","#","#"
"-2.04","基底04","decimal","#","#"
"true","基底04","boolean","#","#"
"文字列!%27","基底07","string","#","#"
"文字列28","基底08","string","#","#"
"文字列23","基底03","string","#","#"
"false","基底08","boolean","#","#"
"文字列2b","基底0b","string","#","#"
"!%文字列2c","基底0c","string","#","#"
"-2.07","基底07","decimal","#","#"
"false","基底0c","boolean","#","#"
"!%!%!%文字列2d","基底0d","string","#","#"

,基底01,string,#,#
false,基底0a,boolean,#,#
false,基底02,boolean,#,#
3.05,基底05,decimal,#,#
true,基底05,boolean,#,#
3.09,基底09,decimal,#,#
false,基底09,boolean,#,#
,基底0a,string,#,#
false,基底01,boolean,#,#
,基底02,string,#,#
3.10,基底0a,decimal,#,#
3.02,基底02,decimal,#,#
,基底0d,string,#,#
,基底06,string,#,#
3.06,基底06,decimal,#,#
true,基底06,boolean,#,#
,基底09,string,#,#
,基底05,string,#,#
3.01,基底01,decimal,#,#
3.13,基底0d,decimal,#,#
false,基底0d,boolean,#,#

"false","基底09","boolean","#","#"
"!%N","基底05","decimal","#","#"
"false","基底02","boolean","#","#"
"文字列45","基底05","string","#","#"
"false","基底05","boolean","#","#"
"文字列42","基底02","string","#","#"
"文字列49","基底09","string","#","#"
"!%N","基底02","decimal","#","#"
"!%N","基底09","decimal","#","#"

,基底01,decimal,#,#
,基底0b,boolean,#,#
,基底0d,string,#,#
!%N,基底03,decimal,#,#
!%N,基底08,boolean,#,#
!%N,基底0a,string,#,#
!%n,基底03,boolean,#,#
!%n,基底07,string,#,#
!%n,基底03,string,#,#
,基底07,decimal,#,#
,基底08,decimal,#,#
"","基底0a","decimal","#","#"
"","基底0a","boolean","#","#"
"","基底0b","string","#","#"
"!%N","基底01","boolean","#","#"
"!%N","基底07","boolean","#","#"
"!%N","基底08","string","#","#"
"!%n","基底0b","decimal","#","#"
"!%n","基底0d","decimal","#","#"
"!%n","基底0d","boolean","#","#"
"!%n","基底01","string","#","#"
