867.062,,自営業主数,人,Y1975,製造業（除く内職）
874.714,,自営業主数,人,Y1980,製造業（除く内職）
779.137,,自営業主数,人,Y1985,製造業（除く内職）
741.013,,自営業主数,人,Y1990,製造業（除く内職）
645.327,,自営業主数,人,Y1995,製造業（除く内職）
541.673,,自営業主数,人,Y2000,製造業（除く内職）
810,,自営業主数,千人,Y1975Q1,製造業（除く内職）
810,,自営業主数,千人,Y1975Q2,製造業（除く内職）
830,,自営業主数,千人,Y1975Q3,製造業（除く内職）
823,,自営業主数,千人,Y1975Q4,製造業（除く内職）
836.7,,自営業主数,千人,Y1980Q1,製造業（除く内職）
826.7,,自営業主数,千人,Y1980Q2,製造業（除く内職）
853.3,,自営業主数,千人,Y1980Q3,製造業（除く内職）
823.3,,自営業主数,千人,Y1980Q4,製造業（除く内職）
806.7,,自営業主数,千人,Y1981Q1,製造業（除く内職）
860,,自営業主数,千人,Y1981Q2,製造業（除く内職）
853.3,,自営業主数,千人,Y1981Q3,製造業（除く内職）
830,,自営業主数,千人,Y1981Q4,製造業（除く内職）
800,,自営業主数,千人,Y1982Q1,製造業（除く内職）
830,,自営業主数,千人,Y1982Q2,製造業（除く内職）
833.3,,自営業主数,千人,Y1982Q3,製造業（除く内職）
786.7,,自営業主数,千人,Y1982Q4,製造業（除く内職）
776.7,,自営業主数,千人,Y1983Q1,製造業（除く内職）
813.3,,自営業主数,千人,Y1983Q2,製造業（除く内職）
823.3,,自営業主数,千人,Y1983Q3,製造業（除く内職）
703.3,,自営業主数,千人,Y1983Q4,製造業（除く内職）
716.7,,自営業主数,千人,Y1984Q1,製造業（除く内職）
740,,自営業主数,千人,Y1984Q2,製造業（除く内職）
820,,自営業主数,千人,Y1984Q3,製造業（除く内職）
730,,自営業主数,千人,Y1984Q4,製造業（除く内職）
716.7,,自営業主数,千人,Y1985Q1,製造業（除く内職）
683.3,,自営業主数,千人,Y1985Q2,製造業（除く内職）
753.3,,自営業主数,千人,Y1985Q3,製造業（除く内職）
753.3,,自営業主数,千人,Y1985Q4,製造業（除く内職）
770,,自営業主数,千人,Y1986Q1,製造業（除く内職）
720,,自営業主数,千人,Y1986Q2,製造業（除く内職）
746.7,,自営業主数,千人,Y1986Q3,製造業（除く内職）
756.7,,自営業主数,千人,Y1986Q4,製造業（除く内職）
746.7,,自営業主数,千人,Y1987Q1,製造業（除く内職）
743.3,,自営業主数,千人,Y1987Q2,製造業（除く内職）
760,,自営業主数,千人,Y1987Q3,製造業（除く内職）
740,,自営業主数,千人,Y1987Q4,製造業（除く内職）
750,,自営業主数,千人,Y1988Q1,製造業（除く内職）
740,,自営業主数,千人,Y1988Q2,製造業（除く内職）
710,,自営業主数,千人,Y1988Q3,製造業（除く内職）
